date,no_Vrede/Irritation,novelty,transience,resonance,nsigma,tsigma,rsigma
2019-01-11,"[0.09242310467207507, 0.1156279078194627, 0.34814895069870266, 0.12907992320708794, 0.2370166828944461, 0.031112606623238784, 0.04659082408498672]",0.00022472221507042968,0.0010846620927343618,-0.0008599398776639321,5.313457963739415e-05,0.0006074550840349392,0.00033029483183616665
2019-01-12,"[0.09933762500612829, 0.1140583827321322, 0.30271868543627556, 0.12911590454728042, 0.27221491739903997, 0.03472883921372899, 0.04782564566541459]",0.0019509792285739888,0.001305902344163594,0.0006450768844103948,0.0003255785252162995,0.0007885137003069392,0.0005570461127616193
2019-01-13,"[0.0987738621312856, 0.12411186066397083, 0.3006043716369864, 0.129897065153131, 0.2631660744140167, 0.03780651050328062, 0.04564025549732884]",0.0013782658230818278,0.00289626801790862,-0.0015180021948267921,0.0009198518908735412,0.0010333120760551303,0.0009765819834643358
2019-01-14,"[0.09612566477544182, 0.1067388065685279, 0.35892927794653584, 0.12056982030469089, 0.2388419928060116, 0.03199631685762265, 0.04679812074116924]",0.0014258414543582402,0.000805619528135917,0.0006202219262223232,0.0008532212369657226,0.000633059873771977,0.0007431405553688499
2019-01-15,"[0.08646616788588272, 0.10555089480247969, 0.35554720729412015, 0.12139302572697076, 0.2482285319448301, 0.03077408144166765, 0.052040090904048986]",0.0014199154719009013,0.0005093775689166112,0.0009105379029842901,0.0008391443925134751,0.00026266939209309285,0.000550906892303284
2019-01-16,"[0.07409132217387479, 0.0996248505055738, 0.3608496308931017, 0.12504309088961973, 0.24943468821101464, 0.026469083744997658, 0.06448733358181764]",0.002256324378877324,0.0025785210264012417,-0.0003221966475239176,0.0015376450419915001,0.0017221532278489224,0.0016298991349202113
2019-01-17,"[0.08612100548615265, 0.1058615726834037, 0.3484510819231148, 0.13133301867017114, 0.24590675812522197, 0.02885172163837244, 0.05347484147356321]",0.0004214000269680111,0.0018331305481672216,-0.0014117305211992105,0.00021358074022742715,0.0007979114849419103,0.0005057461125846688
2019-01-18,"[0.09481500122430278, 0.10790760368452311, 0.32985621149431843, 0.12349075388185493, 0.2674670991970543, 0.03173803791636908, 0.044725292601577225]",0.0012228172692503325,0.000634810946849184,0.0005880063224011485,0.0007241557584702154,0.0003053523753352188,0.0005147540669027172
2019-01-19,"[0.11149036596717303, 0.11798115745626826, 0.31332882052484595, 0.12835789674589818, 0.25485278190577537, 0.03400727900631388, 0.039981698393725534]",0.0025552547856624937,0.0015730370840763448,0.0009822177015861488,0.0017029483852755189,0.0009642758682634902,0.0013336121267695045
2019-01-20,"[0.10379173787203942, 0.11063007393750651, 0.29948806513708875, 0.12388052813325756, 0.273117917111621, 0.043332649806834725, 0.04575902800165195]",0.001454439687697269,0.002592977481292013,-0.001138537793594744,0.0008530799882342521,0.0009116933250806968,0.0008823866566574745
2019-01-21,"[0.09545402422069281, 0.1062018941109081, 0.3416727851434545, 0.12162821610608646, 0.25271820514575616, 0.03377654466166971, 0.048548330611432315]",0.0008572127150730727,0.000611012456324649,0.00024620025874842364,0.00046724360315449396,0.00013537679959975242,0.0003013102013771232
2019-01-22,"[0.07865338407663622, 0.1085071224433521, 0.3518691944231938, 0.12735435944294157, 0.24295436523480538, 0.03339471064992868, 0.057266863729142095]",0.002221630665856078,0.0007909593554813529,0.0014306713103747247,0.0010689626453829046,0.0003178333618275824,0.0006933980036052435
2019-01-23,"[0.091578755196947, 0.11204420658525485, 0.35845651775849374, 0.12395184273445758, 0.22706849810562818, 0.030413148790676168, 0.05648703082854257]",0.0015292727756557815,0.000879267074728709,0.0006500057009270725,0.001346588732659577,0.0006421960556857087,0.0009943923941726429
