date,no_Frygt/Bekymret,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-04-14,"[0.08728869467470403, 0.10693154637508266, 0.2872891719252232, 0.1415069289096841, 0.07624013252065602, 0.26355358988194877, 0.03718993571270123]",0.0013779516726943662,0.0009077045538573159,0.00047024711883705036,0.00033888111129425454,0.0004806714546748278,0.00040977628298454117
2020-04-15,"[0.09066658074704625, 0.11526508517822652, 0.28778147752421923, 0.13486364006086837, 0.06920526908650954, 0.2632935962490165, 0.03892435115411357]",0.0006717206600275528,0.0007028167623491739,-3.109610232162111e-05,0.00032732934189930396,3.665358589119098e-05,0.00018199146389524746
2020-04-16,"[0.10839027514973389, 0.12560616751397782, 0.2800261529997352, 0.13068970299487212, 0.06881521074068155, 0.24852630776893073, 0.03794618283206868]",0.001106752886290603,0.00024517494856207033,0.0008615779377285327,0.0003190534233791657,0.00016992431117237095,0.0002444888672757683
2020-04-17,"[0.10177804933723306, 0.11953542752857432, 0.30663346714287454, 0.13006023876400793, 0.06926555590818129, 0.2354662421103132, 0.03726101920881579]",0.000813668527592575,0.0006249514392922366,0.00018871708830033842,0.00030105684783196404,0.00032645118934950456,0.0003137540185907343
2020-04-18,"[0.10615095128427357, 0.12953010338026952, 0.27213552015334874, 0.1285987556452549, 0.0705817510618334, 0.25607509362426634, 0.036927824850753486]",0.0005502945050413938,0.000575298947006889,-2.5004441965495255e-05,0.00033139390402070007,0.00031033788687301713,0.00032086589544685863
2020-04-19,"[0.10783950917613219, 0.1192006243555143, 0.2753970442410682, 0.12773004662383763, 0.06803504085823, 0.2625283909668041, 0.03926934377841352]",0.00039377337972360346,0.0005292951244256307,-0.0001355217447020272,0.0003242147936534908,9.679053253204113e-05,0.00021050266309276597
2020-04-20,"[0.10609379203820718, 0.11479389109913596, 0.2974299998952327, 0.13221461722792238, 0.06577311691566802, 0.2444673697491313, 0.03922721307470243]",0.00041072704497707133,0.00019772821956389914,0.0002129988254131722,0.00019608030344626934,8.16072852878831e-05,0.00013884379436707623
2020-04-21,"[0.10340812614073655, 0.11001421371877855, 0.2949031402024648, 0.1395767087373203, 0.0699400918975121, 0.2410765867524962, 0.041081132550691665]",0.0005703294460388554,0.0005848432259372932,-1.4513779898437783e-05,0.00032526853357378,0.0003715208010517675,0.00034839466731277375
2020-04-22,"[0.09763052388412184, 0.12588360046353742, 0.2892869021044614, 0.13673969498434535, 0.06834331509139502, 0.24618606725519027, 0.0359298962169487]",0.00041657616115860235,0.0007876418842375717,-0.0003710657230789693,7.8548158689128e-05,0.00041957917718005145,0.00024906366793458974
2020-04-23,"[0.10298550874107174, 0.11618378511559047, 0.29302441767987164, 0.1309200458620033, 0.07270899107635719, 0.24789418550667527, 0.036283066018430406]",0.0001919905282092884,0.0020692193309716648,-0.0018772288027623764,3.406695624165835e-05,0.001679043110559715,0.0008565550334006867
