date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-03-22,"[0.09876015636746353, 0.11683915200721694, 0.2584082393625019, 0.11733330326266726, 0.07476448654337693, 0.22293540820929184, 0.04032518418282964, 0.07041768155164636]",0.00031446121133614865,0.00028129136738657995,3.31698439495687e-05,0.000138773247453674,0.00012164991030912075,0.00013021157888139738
2020-03-23,"[0.09437364291088894, 0.11491113081801568, 0.27547019778566056, 0.11301246909599054, 0.07175534773728905, 0.22166642480920132, 0.0396311404923143, 0.06896595184349134]",0.00036895729992154105,0.0001803333228289157,0.00018862397709262536,0.0002675497604055412,0.00010217736585777666,0.00018486356313165893
2020-03-24,"[0.09255943348507839, 0.11646866745349294, 0.27194607429888157, 0.11279905018827628, 0.0738167818805148, 0.22463331085258242, 0.037772129489124937, 0.06979283988085201]",0.00032747695646318095,0.0002459298092127056,8.154714725047533e-05,0.00031245957215609573,9.785820198385962e-05,0.00020515888706997768
2020-03-25,"[0.0886988159007612, 0.11823140682266703, 0.26967214547504936, 0.10894981674654636, 0.07494209190865518, 0.23656774739216235, 0.0378622497885537, 0.06485232590921905]",0.0002968527256839839,0.0005165788181989306,-0.00021972609251494666,0.0001179250751371707,0.0002571303844539901,0.00018752772979558038
2020-03-26,"[0.08775140091696382, 0.11795487572727027, 0.27514550768158297, 0.11273021958870684, 0.06708614633884762, 0.23469171783253343, 0.03669496206129179, 0.06773791457757995]",0.0001939410998363691,0.0009567530488942926,-0.0007628119490579235,2.9694684044647193e-05,0.0001645865833479056,9.71406336962764e-05
2020-03-27,"[0.10323317450023964, 0.12172382778357344, 0.2726546085093185, 0.1114288493529196, 0.07178915611695379, 0.2103701187018919, 0.04221157695886316, 0.06638337045704457]",0.0006512924298006036,0.0011322029994655484,-0.00048091056966494486,0.0001898440902464808,0.0003057321335222747,0.0002477881118843777
2020-03-28,"[0.09939385510582516, 0.12247496643007862, 0.24267951915084082, 0.11781939382313446, 0.07556247202506554, 0.23644309099047253, 0.03842483534752861, 0.06698247969819042]",0.0008172533754324699,0.00031380246331542386,0.0005034509121170461,0.00013990998678646213,0.0001983948424134353,0.00016915241459994872
2020-03-29,"[0.09957530664945126, 0.11575151710781147, 0.23782805035506774, 0.1151141381536475, 0.07558482892188507, 0.2502182375726275, 0.040449580374435114, 0.06527511297611362]",0.0009774195927192643,0.000581473916459927,0.00039594567625933724,0.0005820402970653576,0.0002306654998909198,0.0004063528984781387
2020-03-30,"[0.08464060022650056, 0.11858420158550396, 0.2655843431483578, 0.11519813137032842, 0.0765101925254813, 0.2341270101925255, 0.03988524915062287, 0.06525101925254813]",0.000769645057409841,0.0003549905583468315,0.0004146544990630095,0.0001260117299402038,0.00011698085138054601,0.00012149629066037491
2020-03-31,"[0.09871072291186878, 0.12104406560692015, 0.24906167499859574, 0.11674647531314944, 0.07415149132168734, 0.23504094815480533, 0.043464247598719315, 0.06156768522159185]",0.00030829625241613254,0.00039077084949889633,-8.247459708276379e-05,0.0001340249710462329,9.770545763105402e-05,0.00011586521433864346
2020-04-01,"[0.09425306565080778, 0.11962923004198758, 0.2659567333092345, 0.11069312904930066, 0.07465778717014708, 0.23476192197536352, 0.03919375469232266, 0.06064555237327252]",0.00036860558693232846,0.0003863835208206875,-1.7777933888359022e-05,0.00019301758191306862,0.00017960633027999472,0.00018631195609653168
2020-04-02,"[0.08980757818449177, 0.13266179135047132, 0.26435732479058893, 0.10853312501641152, 0.07211514323976576, 0.2332965627707901, 0.03896940892261639, 0.06003455610114749]",0.0003642369134386929,0.0008128917658245163,-0.0004486548523858234,0.00011748847189518424,0.0003103201322543681,0.00021390430207477617
2020-04-03,"[0.10184715396927915, 0.12679304147594841, 0.2669205863356828, 0.11123408497374404, 0.07031139254724664, 0.21932532082783407, 0.04152604532307433, 0.06180986212125465]",0.00036341286389833007,0.0010709745197525645,-0.0007075616558542344,4.0057795234316175e-05,0.000610525644814666,0.00032529172002449105
2020-04-04,"[0.10826122422129393, 0.11914544617307503, 0.24191023912113935, 0.11408193270400946, 0.07834490017432488, 0.23106614478834323, 0.04276166825642206, 0.06422668815577409]",0.0007675991429560072,0.0011402195436355442,-0.000372620400679537,0.00019417612142704234,0.0007519863810052404,0.0004730812512161414
2020-04-05,"[0.11045406972868475, 0.11764705686287581, 0.24469975334977667, 0.11373765082327841, 0.07671388574095059, 0.2356760549296713, 0.03937620825278315, 0.061487734151056586]",0.0005840855108403634,0.0014702699278074088,-0.0008861844169670453,0.0003887414793744437,0.0005816171826369701,0.00048517933100570686
