date,no_negative,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-11-29,"[0.48921451322776566, 0.5107854867722343]",8.950274462990485e-05,0.0003931467566611542,-0.0003036440120312493,9.804618681423448e-05,0.0004460105314736455,0.00027202835914394
2020-11-30,"[0.4725834204014081, 0.5274165795985919]",8.780738584081424e-05,0.00019380715237838635,-0.00010599976653757212,4.347874232261744e-05,0.00015349415979389814,9.84864510582578e-05
2020-12-01,"[0.48278102655295435, 0.5172189734470456]",2.5053263514962017e-05,0.00046647085606271906,-0.00044141759254775706,2.054193639575192e-05,0.00020085879000768372,0.00011070036320171781
2020-12-02,"[0.4441513952303666, 0.5558486047696333]",0.0007258710827558459,0.001605305093683452,-0.0008794340109276062,0.00025091586261265523,0.001109390670671055,0.000680153266641855
2020-12-03,"[0.45698591969899494, 0.5430140803010052]",0.00017979108328752998,0.0017669637614120455,-0.0015871726781245155,0.00011016289140687404,0.00035949912930743287,0.00023483101035715346
2020-12-04,"[0.5078843462474775, 0.4921156537525225]",0.0012165541101971438,0.0003594166894169023,0.0008571374207802416,0.0007052783428378513,0.00039741954687118184,0.0005513489448545166
2020-12-05,"[0.5174905154118845, 0.48250948458811554]",0.0015248674128698755,0.0008034380052088702,0.0007214294076610053,0.0011033585319526454,0.000577082253694546,0.0008402203928235957
2020-12-06,"[0.5228376634537317, 0.4771623365462684]",0.0007656375833143512,0.0013948301947211948,-0.0006291926114068435,0.0009943154856806432,0.00019747017606016917,0.0005958928308704062
2020-12-07,"[0.46500753099579717, 0.5349924690042028]",0.0013239336610186496,4.219332367972326e-05,0.0012817403373389263,0.0003098746024770064,1.7299701145487547e-05,0.00016358715181124698
2020-12-08,"[0.4723849282128515, 0.5276150717871485]",0.0007727786417543809,0.00011582062867184803,0.0006569580130825328,0.0005373479209847798,0.00015760429961613764,0.00034747611030045875
2020-12-09,"[0.473092170521792, 0.5269078294782079]",0.0004236320013755643,0.00015514828506723178,0.0002684837163083325,0.000575884255613252,0.00012893518704526016,0.00035240972132925607
2020-12-10,"[0.4765161495491434, 0.5234838504508565]",2.6961827428064584e-05,0.00010945043958872864,-8.248861216066405e-05,2.794579693814163e-05,9.859442386214323e-05,6.327011040014243e-05
2020-12-11,"[0.49839753123703023, 0.5016024687629698]",0.0002995660015497279,0.0005101437966878332,-0.00021057779513810536,4.3069733521739704e-05,0.0005121504222558862,0.000277610077888813
2020-12-12,"[0.48975915722648367, 0.5102408427735164]",8.806671825715305e-05,0.0003503361305173631,-0.00026226941226021005,4.155041628291641e-05,0.0003407128357814605,0.00019113162603218845
2020-12-13,"[0.4751086155195376, 0.5248913844804626]",0.00012661682859896588,0.00013084914446455086,-4.232315865584972e-06,0.00011122235985422574,0.0001505033320427228,0.00013086284594847426
2020-12-14,"[0.44904499189745267, 0.5509550081025472]",0.000798515278175674,0.0006424216455831614,0.0001560936325925126,0.0003600669606045866,0.00024583168349324406,0.0003029493220489153
2020-12-15,"[0.47484356196260147, 0.5251564380373985]",0.00014872559310693338,0.00015753436101505376,-8.80876790812038e-06,0.000139178984148993,8.745918467486603e-05,0.0001133190844119295
2020-12-16,"[0.4851853107391976, 0.5148146892608024]",0.0002534859450183491,3.559160912507326e-05,0.0002178943358932758,0.0002846540255542671,3.412644814602795e-05,0.00015939023685014752
2020-12-17,"[0.49224074131816253, 0.5077592586818376]",0.00037095509309511236,2.6516996595200978e-05,0.0003444380964999114,0.0004031987369111239,7.401436521014748e-06,0.0002053000867160693
2020-12-18,"[0.49796568138362435, 0.5020343186163757]",0.0001218738010476302,7.276029349507797e-05,4.911350755255222e-05,0.00010639460833195578,5.139407262434514e-05,7.889434047815046e-05
2020-12-19,"[0.48458888490779956, 0.5154111150922004]",3.965624761026183e-05,0.000192954441336798,-0.00015329819372653618,3.719446191846206e-05,0.00017064265147266798,0.00010391855669556502
2020-12-20,"[0.5004709554031186, 0.4995290445968814]",5.4387384058088716e-05,8.247632536436756e-05,-2.808894130627884e-05,5.227429940398018e-05,3.3794131893140685e-05,4.303421564856043e-05
2020-12-21,"[0.5138162783501248, 0.4861837216498751]",0.00021396508324692844,0.001991930615734543,-0.0017779655324876146,0.00015150480443334644,0.00264476000164397,0.0013981324030386583
2020-12-22,"[0.4917321421740616, 0.5082678578259385]",0.00010253190021200472,0.0031748209956477427,-0.003072289095435738,0.00010008303607435814,0.0036520856836301414,0.0018760843598522499
2020-12-23,"[0.51597165104617, 0.48402834895382996]",0.00013877369587619336,0.0019712164477418254,-0.0018324427518656321,0.00011972828217196806,0.0024966544337936265,0.0013081913579827973
2020-12-24,"[0.6197951312524018, 0.3802048687475983]",0.006519658385138227,0.007149192230607522,-0.0006295338454692951,0.0012818313323823807,0.002482990464067238,0.0018824108982248094
2020-12-25,"[0.5342079694653201, 0.46579203053467994]",0.0016088036673959317,0.0012043558129605284,0.00040444785443540334,0.0015482653087155415,0.00027581761671740987,0.0009120414627164756
2020-12-26,"[0.49382817070995244, 0.5061718292900476]",0.0030405889505148603,0.0001399366757528314,0.0029006522747620288,0.003557206460667186,8.758441856322299e-05,0.0018223954396152046
2020-12-27,"[0.48196352050072905, 0.518036479499271]",0.0036888582468449812,5.6910363785930405e-05,0.0036319478830590507,0.0042344710473412595,4.409600344295355e-05,0.0021392835253921066
2020-12-28,"[0.48072496193665215, 0.5192750380633478]",0.000505963932301869,0.006531730795289366,-0.006025766862987497,0.0006551764159170026,0.009112859543144735,0.004884017979530869
2020-12-29,"[0.47088799807634046, 0.5291120019236595]",0.00012448192823932112,0.008954222188712052,-0.008829740260472731,9.842698100068979e-05,0.009008163247691952,0.00455329511434632
2020-12-30,"[0.49669023958492303, 0.503309760415077]",0.00018975743340529663,0.006466210550473875,-0.006276453117068578,0.00010177215594897886,0.00713140535054437,0.0036165887532466742
2020-12-31,"[0.6747075941897949, 0.32529240581020513]",0.01907752063011949,0.012733638289548719,0.00634388234057077,0.0020399264651655845,0.00541407331588557,0.003726999890525577
2021-01-01,"[0.5721157220907792, 0.4278842779092209]",0.004539979140626714,0.0037047941098426926,0.0008351850307840212,0.0012031013584802475,0.0014552962278352314,0.0013291987931577393
2021-01-02,"[0.5116516341106556, 0.48834836588934444]",0.005266412960147755,0.0010828215869794278,0.004183591373168327,0.006107150089700729,0.000646350108005854,0.0033767500988532914
2021-01-03,"[0.4842421226265569, 0.515757877373443]",0.007664128031283424,0.0004322947331657229,0.007231833298117701,0.007960192999910371,0.0002178023702256795,0.004088997685068025
2021-01-04,"[0.4684290752031388, 0.5315709247968613]",0.002151383675219552,0.00019512621815891024,0.001956257457060642,0.0023166235757587457,3.767130684872008e-05,0.0011771474413037328
2021-01-05,"[0.4494612053914797, 0.5505387946085204]",0.0009089291016792089,4.8086586139379214e-05,0.0008608425155398297,0.0007482168340687158,6.388034850833777e-05,0.00040604859128852677
2021-01-06,"[0.4507330594083009, 0.549266940591699]",0.00024078341181625756,5.953068313243392e-05,0.00018125272868382364,0.00023728938208825018,4.453653402357861e-05,0.0001409129580559144
