,change_point,resonance,novelty,transience,happiness,trust,expectation,surprised,anger,contempt,grief,fear,date,epidemiological,other,policy,danish,international,new_cases,new_cases_MA7,n_all_tweets,n_keyword_tweets,proportion_keyword_tweets
39,0,0.0007060804171765946,0.001240636752100856,0.0005345563349242613,1.0229559347259872e+16,1.1621341625471748e+16,2.7946712379737416e+16,1.1352894275235208e+16,7089268059320682.0,2.3227066390262052e+16,4.05329825120927e+16,4457858927337479.0,2019-02-09,0,0,0,0,0,,,18813,154,0.008185828948067825
40,0,0.0008792195131790082,0.0016977113072814724,0.000818491794102464,9428228134855418.0,1.1622178296983962e+16,2630208768267223.0,1.1204477413050236e+16,7310438413361169.0,2537684004797228.0,4390294496513125.0,4344805223648558.0,2019-02-10,0,0,0,0,0,,,22513,514,0.022831253053791144
41,0,0.00037597911163309526,0.0009311761516788404,0.0005551970400457453,8819460112812248.0,1.0982782702121944e+16,2779952994896589.0,1.1187693616259288e+16,7092461276748141.0,2505376936162593.0,3834636046199301.0,5207561106634434.0,2019-02-11,0,0,0,0,0,,,22338,539,0.024129286417763445
42,0,0.0002012401739393872,0.0005004788341859177,0.00029923866024653053,8947097569267379.0,1.0765918748937616e+16,2.9081370049294576e+16,1116874893761686.0,7728990311065782.0,2.3937315145334016e+16,3.8416411694713576e+16,4506633520312765.0,2019-02-12,0,0,0,0,0,,,23532,379,0.01610572836987931
43,0,0.0001271812555769862,0.0007492275727033162,0.00062204631712633,8401672212978369.0,1.149598169717138e+16,3015871880199667.0,1.0963560732113144e+16,6927325291181363.0,2435870632279534.0,3331168885191347.0,4339933444259566.0,2019-02-13,0,0,0,0,0,,,24040,321,0.013352745424292843
44,0,-0.00017834772859098608,0.000498444850646463,0.0006767925792374491,9805558035714284.0,1.0709415178571428e+16,3.0237071428571428e+16,1.0996437500000002e+16,67539375.0,2.3419406249999996e+16,3.5456741071428564e+16,4510883928571428.0,2019-02-14,0,0,0,0,0,,,22400,216,0.009642857142857142
45,0,-0.0003591131470926029,0.00027957759492746556,0.0006386907420200685,9787652181640452.0,1080407446903048.0,2871157024793388.0,1.1186985692704166e+16,7202017239847151.0,2.4158384430818444e+16,3756753754554341.0,4.370630054207766e+16,2019-02-15,0,0,0,0,0,,,22506,224,0.009952901448502622
46,0,-0.000402063844938579,0.0005520637310188422,0.0009541275759574213,1.0065780600202316e+16,1.086588175789592e+16,2746640440597954.0,1147927953242666.0,729397549735866.0,2450415870518152.0,4029611104866809.0,4.272001798358997e+16,2019-02-16,0,0,0,0,0,,,17794,144,0.008092615488366865
47,0,-8.457492629217818e-05,0.0007615391453229518,0.00084611407161513,9062615357046860.0,1.1483061553624228e+16,2.6733106352477376e+16,1117395394677896.0,6843979034136725.0,258270853866141.0,4.4905698414120584e+16,4.3631932622524856e+16,2019-02-17,0,0,0,0,0,,,22322,151,0.006764626825553266
48,0,0.000949599978492084,0.0012886584484565814,0.0003390584699644974,7732771209369554.0,1.2144668470405096e+16,3.0301167488232456e+16,1.1076086875949742e+16,6207979689411066.0,2.4506782550683812e+16,4029353989844705.0,3.9770912864608424e+16,2019-02-18,0,0,0,0,0,,,26981,162,0.00600422519550795
49,0,0.0005027588694508672,0.0006222297267947863,0.00011947085734391924,8081753846153845.0,1132855.0,2907573846153846.0,1.0858623076923074e+16,6886099999999999.0,2.598078076923077e+16,382601923076923.0,3938553846153846.0,2019-02-19,0,0,0,0,0,,,26000,201,0.007730769230769231
50,0,-0.00011817733685242549,0.0004291955339002347,0.0005473728707526602,8439122028886614.0,1.1445138178096212e+16,2978217900602752.0,1.0909026119261532e+16,6922699874900488.0,2.4743492929982184e+16,3.5715417567004056e+16,4164494484248834.0,2019-02-20,0,0,0,0,0,,,26379,201,0.007619697486637099
51,0,-0.0009165158201164276,0.00022368473605271905,0.0011402005561691464,7739433306795976.0,1.0927553014402544e+16,2.9782691611782584e+16,1119768039371788.0,6532767605124123.0,2602051458348411.0,3790913367590649.0,3.984186147499456e+16,2019-02-21,0,0,0,0,0,,,27634,159,0.005753781573424043
52,0,-0.00034517443142066835,0.00024254548365262597,0.0005877199150732944,8604286729296597.0,1.131730875503276e+16,287145377753217.0,1.0553027551906528e+16,730006315623273.0,259993605431436.0,3.790976553248598e+16,3695590905502487.0,2019-02-22,0,0,0,0,0,,,25334,190,0.007499802636772717
53,0,-6.682771356665909e-05,0.0011431307971953555,0.0012099585107620144,9756049062290688.0,1.2056233255190888e+16,2617136637642331.0,1.113428081044876e+16,7752461486939048.0,2526981329537843.0,4076833556597454.0,3.7593143000669784e+16,2019-02-23,0,0,0,0,0,,,23888,126,0.005274614869390489
