,date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma,smoothed_transience,smoothed_novelty,smoothed_resonance
21,2019-01-22,"[0.30358969709580563, 0.34034321215183855, 0.35607544365506366]",0.00012600844443702892,0.0004182446020740303,-0.00029223615763700135,2.1293391904928554e-05,0.00027817499984934536,0.00014973419587713697,0.00031516269826252063,0.00028092883083799644,-3.423386742452415e-05
22,2019-01-23,"[0.31571453342752553, 0.34795539785498686, 0.33633087149187596]",0.00028746481642226977,0.0001223955550992325,0.00016506926132303727,0.00023974232976171342,8.60048734424215e-05,0.00016287360160206744,0.00031910502011201966,0.00028124201698942014,-3.7863003122599496e-05
23,2019-01-24,"[0.3184747263059118, 0.34423109164842036, 0.3372834219580857]",9.45062288866718e-05,0.00043113062638724334,-0.00033662439750057157,9.193950419222024e-05,0.00042044613387745854,0.0002561928190348394,0.00032432614860719247,0.0002838457031844933,-4.048044542269914e-05
24,2019-01-25,"[0.3339042105577273, 0.34470445525349885, 0.32138897675390166]",0.00040496409742252795,0.00042783953211517935,-2.2875434692651395e-05,0.0002878060224315413,0.0002236099619939382,0.0002557079922127397,0.000330826083748039,0.00028873988942321584,-4.208619432482308e-05
25,2019-01-26,"[0.3247526971648406, 0.3320176465668646, 0.34323191435978917]",0.00016567609318631098,0.00023127716279342685,-6.560106960711587e-05,7.81513952417731e-05,0.00027044248720485905,0.00017429694122331608,0.0003386048255345593,0.0002959245757055879,-4.2680249828971344e-05
26,2019-01-27,"[0.35668873505349274, 0.30887750157331656, 0.33443486469477657]",0.0007928519549539394,0.0009632789573681676,-0.00017042700241422812,0.00017126953862592166,0.00034895382021675735,0.00026011167942133955,0.00034766237396675323,0.0003053997620316093,-4.226261193514389e-05
27,2019-01-28,"[0.3281929829729571, 0.32928810463677605, 0.34252294821186596]",0.000253366854171037,0.00021864446599460232,3.4722388176434705e-05,0.00019476822122415152,7.942832319939509e-05,0.0001370982722117733,0.000357998729044621,0.0003171654484012803,-4.083328064334074e-05
28,2019-01-29,"[0.314751081866145, 0.3417843974153773, 0.3434638982749422]",0.0004349543483856979,8.082349444252528e-05,0.0003541308539431726,0.00047189592334025127,6.243275524793922e-05,0.00026716433929409517,0.0003696138907681625,0.00033122163481460066,-3.83922559535619e-05
29,2019-01-30,"[0.31137063141578686, 0.3452410142426812, 0.3433955780422893]",0.0005061778996696142,0.00024840169884032267,0.00025777620082929144,0.000570077477027668,0.00017755804461755113,0.00037381776082260964,0.00038250785913737775,0.0003475683212715704,-3.4939537865807366e-05
30,2019-01-31,"[0.31227703831438275, 0.3527590397154713, 0.3349650536185806]",0.00014703701171409444,0.0007639671637502494,-0.000616930152036155,0.0001241110549077531,0.0002360189362783169,0.000180064995593035,0.0003966806341522668,0.0003662055077721896,-3.0475126380077128e-05
31,2019-02-01,"[0.3177134037717304, 0.3257365317279931, 0.35655586952515506]",0.00027672258805028693,0.00011666015244768979,0.00016006243560259708,0.000124419734822765,3.5329100547764674e-05,7.987441768526485e-05,0.00041873142839750826,0.00038594686424910015,-3.2784564148408086e-05
32,2019-02-02,"[0.30712995010913624, 0.32186981602743997, 0.3710051449953227]",0.0004752399634736293,0.00016485866056905238,0.0003103813029045769,0.00028669436671868893,0.00010610644621269073,0.00019640040646568983,0.00043423351604226964,0.00040036209994629747,-3.387141609597219e-05
33,2019-02-03,"[0.3098103363006924, 0.3165923178371249, 0.3735921117705242]",0.0003969358362953853,0.0003240043483891599,7.293148790622539e-05,0.0004428529796081071,6.196479902949305e-05,0.00025240888931880005,0.0004431868970865508,0.00040945121486378136,-3.373568222276945e-05
34,2019-02-04,"[0.3114532345785029, 0.3368756977243452, 0.35166480606841277]",0.00020584603884185853,0.00010644436770328296,9.940167113857556e-05,0.00010412814725677926,7.884833384104765e-05,9.148824054891345e-05,0.00044559157153035197,0.0004132142090015521,-3.2377362528799845e-05
35,2019-02-05,"[0.2981279310461841, 0.343173877634124, 0.3586900132342461]",0.0002535406498559031,0.00019689754142911204,5.6643108426791064e-05,0.00012043860260899896,0.000165378258377493,0.000142908430493246,0.00044144753937367287,0.00041165108235960955,-2.979645701406339e-05
36,2019-02-06,"[0.29526530679172264, 0.33645259567769653, 0.3682715705243827]",0.00016781934734279628,0.00034141216677856576,-0.00017359281943576948,8.410216657026937e-05,0.00025784906176425874,0.00017097561416726402,0.0004307548006165137,0.00040476183493795364,-2.599296567856007e-05
37,2019-02-07,"[0.31106984730279386, 0.3408951790358071, 0.34803814096152563]",0.00012489380937159082,0.0007322767062270059,-0.0006073828968554152,9.948987570648012e-05,0.0005718491312925135,0.00033566950349949684,0.00041351335525887447,0.00039254646673658457,-2.0966888522289902e-05
38,2019-02-08,"[0.3220388492158403, 0.342699080876072, 0.3352686301978337]",0.00040952647816873996,0.0018159341866196773,-0.0014064077084509376,0.00023861262664060385,0.0004649406335541744,0.0003517766300973892,0.000389723203300755,0.0003750049777555022,-1.4718225545252885e-05
39,2019-02-09,"[0.2894539463043829, 0.33009817240821604, 0.38044974122594205]",0.0006281792349665503,0.00013771542299243072,0.0004904638119741196,0.000460855762323608,7.553426882793622e-05,0.00026819501557577205,0.0003593843447421555,0.00035213736799470646,-7.246976747448997e-06
40,2019-02-10,"[0.28540851582380555, 0.3137388624063654, 0.4008558833016738]",0.0013563561339038454,0.00042539099231462185,0.0009309651415892238,0.000858695111899281,0.00017509476002577554,0.0005168949359625282,0.00032249677958307585,0.00032394363745419754,1.4468578711217312e-06
41,2019-02-11,"[0.2780890780141844, 0.33138517730496453, 0.39053925531914896]",0.0007248943643851435,0.00032075588208228925,0.00040413848230285424,0.000835983308514805,0.00012399256369390792,0.00047998793610435644,0.0002971452107392881,0.00032663544161803883,2.949023087875071e-05
42,2019-02-12,"[0.2842028204616511, 0.341921838621699, 0.37388501962349496]",0.00025507671697975884,0.00018199865976961115,7.307805721014769e-05,0.00020235602103860524,3.520968427480808e-05,0.00011878285265670666,0.00027617244340984995,0.000329295442219846,5.312299880999599e-05
43,2019-02-13,"[0.30318780928179745, 0.32838745486157545, 0.36842500334358697]",0.0004090182696483191,1.2521969959146135e-05,0.00039649629968917287,0.00013518725158920104,3.073250247583864e-06,6.913025091839245e-05,0.0002595784775947613,0.0003319236392596189,7.234516166485755e-05
44,2019-02-14,"[0.30011743235180566, 0.3319381251535464, 0.3679501631979784]",0.0001813873294886389,0.00011198626468339165,6.940106480524726e-05,0.00015178130958806718,0.00011957170848525414,0.0001356765090366607,0.00024736331329402235,0.0003345200327373578,8.715671944333546e-05
45,2019-02-15,"[0.2989070085003243, 0.32888717441026866, 0.3722044515754617]",5.991655568975096e-05,8.5842425470238e-05,-2.5925869780487037e-05,6.863896907716361e-05,7.119041507682812e-05,6.991469207699587e-05,0.00023952695050763283,0.00033708462265306255,9.755767214542966e-05
46,2019-02-16,"[0.3052967467821885, 0.3230439871704086, 0.3716433123672262]",3.0753319785300035e-05,0.00016756548563610896,-0.0001368121658508089,1.2092636041008728e-05,5.8899795367872034e-05,3.549621570444038e-05,0.00023606938923559291,0.00033961740900673306,0.0001035480197711402
47,2019-02-17,"[0.28883107817869413, 0.32026725372279496, 0.3908998424971362]",0.0002349430984544077,0.000350622105544923,-0.00011567900709051526,3.826673402978021e-05,3.716926688385256e-05,3.771800045681638e-05,0.00023699062947790255,0.00034211839179836944,0.00010512776232046696
48,2019-02-18,"[0.2998685655557187, 0.3359613272647189, 0.3641710174717369]",0.00017257859087843646,3.6091983617395816e-05,0.00013648660726104061,0.00014979714892289584,3.226414463850747e-05,9.103064678070166e-05,0.00024229067123456168,0.00034458757102797175,0.00010229689979341011
